Entity,Code,Year,Category,Energy Consumption
World,OWID_WRL,1968,Wind,0
World,OWID_WRL,1968,Hyrdropower,3132.3052
World,OWID_WRL,1968,Nuclear,147.87189
World,OWID_WRL,1968,Gas,8044.3594
World,OWID_WRL,1968,Oil,22499.12
World,OWID_WRL,1968,Coal,16301.146
World,OWID_WRL,1968,Traditional Biomass,9331
World,OWID_WRL,1969,Other renewables,72.558716
World,OWID_WRL,1969,Modern Biofuels,9.723981
World,OWID_WRL,1969,Solar,0
World,OWID_WRL,1969,Wind,0
World,OWID_WRL,1969,Hyrdropower,3316.9805
World,OWID_WRL,1969,Nuclear,175.31134
World,OWID_WRL,1969,Gas,8833.446
World,OWID_WRL,1969,Oil,24363.566
World,OWID_WRL,1969,Coal,16798.734
World,OWID_WRL,1969,Traditional Biomass,9387
World,OWID_WRL,1970,Other renewables,80.33795
World,OWID_WRL,1970,Modern Biofuels,13.501494
World,OWID_WRL,1970,Solar,0
World,OWID_WRL,1970,Wind,0
World,OWID_WRL,1970,Hyrdropower,3473.4265
World,OWID_WRL,1970,Nuclear,223.80801
World,OWID_WRL,1970,Gas,9614.819
World,OWID_WRL,1970,Oil,26520.377
World,OWID_WRL,1970,Coal,17058.607
World,OWID_WRL,1970,Traditional Biomass,9444
World,OWID_WRL,1971,Other renewables,87.339066
World,OWID_WRL,1971,Modern Biofuels,13.562146
World,OWID_WRL,1971,Solar,0
World,OWID_WRL,1971,Wind,0
World,OWID_WRL,1971,Hyrdropower,3628.942
World,OWID_WRL,1971,Nuclear,311.28723
World,OWID_WRL,1971,Gas,10293.2
World,OWID_WRL,1971,Oil,28021.105
World,OWID_WRL,1971,Coal,16965.777
World,OWID_WRL,1971,Traditional Biomass,9499
World,OWID_WRL,1972,Other renewables,93.40202
World,OWID_WRL,1972,Modern Biofuels,14.82311
World,OWID_WRL,1972,Solar,0
World,OWID_WRL,1972,Wind,0
World,OWID_WRL,1972,Hyrdropower,3798.634
World,OWID_WRL,1972,Nuclear,431.79926
World,OWID_WRL,1972,Gas,10861.724
World,OWID_WRL,1972,Oil,30139.71
World,OWID_WRL,1972,Coal,17158.637
World,OWID_WRL,1972,Traditional Biomass,9553
World,OWID_WRL,1973,Other renewables,100.24631
World,OWID_WRL,1973,Modern Biofuels,14.250557
World,OWID_WRL,1973,Solar,0
World,OWID_WRL,1973,Wind,0
World,OWID_WRL,1973,Hyrdropower,3852.995
World,OWID_WRL,1973,Nuclear,578.5737
World,OWID_WRL,1973,Gas,11377.838
World,OWID_WRL,1973,Oil,32560.594
World,OWID_WRL,1973,Coal,17667.85
World,OWID_WRL,1973,Traditional Biomass,9608
World,OWID_WRL,1974,Other renewables,106.87296
World,OWID_WRL,1974,Modern Biofuels,14.334716
World,OWID_WRL,1974,Solar,0
World,OWID_WRL,1974,Wind,0
World,OWID_WRL,1974,Hyrdropower,4232.1367
World,OWID_WRL,1974,Nuclear,756.48175
World,OWID_WRL,1974,Gas,11659.864
World,OWID_WRL,1974,Oil,32120.803
World,OWID_WRL,1974,Coal,17682.05
World,OWID_WRL,1974,Traditional Biomass,9663
World,OWID_WRL,1975,Other renewables,108.1472
World,OWID_WRL,1975,Modern Biofuels,13.688392
World,OWID_WRL,1975,Solar,0
World,OWID_WRL,1975,Wind,0
World,OWID_WRL,1975,Hyrdropower,4284.3325
World,OWID_WRL,1975,Nuclear,1049.4497
World,OWID_WRL,1975,Gas,11659.741
World,OWID_WRL,1975,Oil,31746.924
World,OWID_WRL,1975,Coal,18024.537
World,OWID_WRL,1975,Traditional Biomass,9718
World,OWID_WRL,1976,Other renewables,120.57106
World,OWID_WRL,1976,Modern Biofuels,13.751189
World,OWID_WRL,1976,Solar,0
World,OWID_WRL,1976,Wind,0
World,OWID_WRL,1976,Hyrdropower,4267.3394
World,OWID_WRL,1976,Nuclear,1227.7115
World,OWID_WRL,1976,Gas,12354.144
World,OWID_WRL,1976,Oil,33782.324
World,OWID_WRL,1976,Coal,18688.486
World,OWID_WRL,1976,Traditional Biomass,9774
World,OWID_WRL,1977,Other renewables,127.266624
World,OWID_WRL,1977,Modern Biofuels,18.318535
World,OWID_WRL,1977,Solar,0
World,OWID_WRL,1977,Wind,0
World,OWID_WRL,1977,Hyrdropower,4410.859
World,OWID_WRL,1977,Nuclear,1528.1375
World,OWID_WRL,1977,Gas,12759.843
World,OWID_WRL,1977,Oil,34960.312
World,OWID_WRL,1977,Coal,19241.3
World,OWID_WRL,1977,Traditional Biomass,9830
World,OWID_WRL,1978,Other renewables,135.02682
World,OWID_WRL,1978,Modern Biofuels,23.178774
World,OWID_WRL,1978,Solar,0
World,OWID_WRL,1978,Wind,0.008870971
World,OWID_WRL,1978,Hyrdropower,4773.711
World,OWID_WRL,1978,Nuclear,1775.7009
World,OWID_WRL,1978,Gas,13293.952
World,OWID_WRL,1978,Oil,36550.02
World,OWID_WRL,1978,Coal,19457.904
World,OWID_WRL,1978,Traditional Biomass,9886
World,OWID_WRL,1979,Other renewables,144.51552
World,OWID_WRL,1979,Modern Biofuels,28.023214
