Entity,Year,Low-carbon Energy
North America,2010,16.056374
North America,2011,16.931713
North America,2012,16.928715
North America,2013,17.14483
North America,2014,17.217102
North America,2015,17.42969
North America,2016,18.179653
North America,2017,18.769161
North America,2018,18.344063
North America,2019,18.647142
North America,2020,20.41801
North America,2021,19.79231
North America,2022,20.052675
South America,1965,10.9509325
South America,1966,11.442433
South America,1967,11.675976
South America,1968,11.614463
South America,1969,11.965155
South America,1970,13.72703
South America,1971,14.3630295
South America,1972,15.235446
South America,1973,15.541877
South America,1974,16.721643
South America,1975,18.100729
South America,1976,18.731989
South America,1977,19.576462
South America,1978,20.643879
South America,1979,21.74706
South America,1980,23.403969
South America,1981,23.715527
South America,1982,25.095076
South America,1983,27.266565
South America,1984,29.286888
South America,1985,30.796524
South America,1986,31.086517
South America,1987,31.94878
South America,1988,32.003815
South America,1989,32.360886
South America,1990,33.366394
South America,1991,34.428642
South America,1992,33.820038
South America,1993,34.83747
South America,1994,34.82535
South America,1995,34.418873
South America,1996,34.289078
South America,1997,34.258183
South America,1998,33.718575
South America,1999,33.630417
South America,2000,34.259415
South America,2001,33.050415
South America,2002,34.063614
South America,2003,34.92097
South America,2004,33.98187
South America,2005,34.54685
South America,2006,34.560352
South America,2007,34.278526
South America,2008,34.262733
South America,2009,35.68732
South America,2010,34.444405
South America,2011,34.681377
South America,2012,33.03459
South America,2013,31.93594
South America,2014,31.490158
South America,2015,32.078953
South America,2016,33.369843
South America,2017,34.142776
South America,2018,36.051266
South America,2019,37.355976
South America,2020,39.903065
South America,2021,36.626312
South America,2022,38.53412
